,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
82,Doing Things A LOT Differently | 2 Million Subs Episode! - Boho Frequency w/Juliana & Mark Spicoluk,vv6o5TSnStw,2021-04-05T16:07:31Z,90908.0,2464.0,39.0,260.0,vv6o5TSnStw,0 days 01:16:55,4615.0
83,"Puppies, Babies, New Parents, & Post Pregnancy Life ☮ Boho Frequency Ep8 w/Juliana & Mark Spicoluk",fgegW9lHPhw,2021-02-13T21:02:05Z,110403.0,2390.0,33.0,258.0,fgegW9lHPhw,0 days 01:01:19,3679.0
84,"All Things Yoga | Pregnancy, Healing, & Coping With Pandemic Hysteria ☮ Boho Frequency Ep.7",8X_3PpSN7JA,2020-11-28T23:52:59Z,89271.0,1782.0,31.0,209.0,8X_3PpSN7JA,0 days 01:04:51,3891.0
85,"Yes, I'm Pregnant! OH baby!🤰What This Means For Boho Beautiful | Boho Frequency  Ep 6",15S-XdVBJw4,2020-10-04T23:23:08Z,257827.0,7967.0,104.0,1164.0,15S-XdVBJw4,0 days 00:54:45,3285.0
86,"Top Picks & Must Haves - Mats, Yoga Clothes, Skin, Books, Documentaries & More! ☮ Boho Frequency Ep5",HkbwCWIwlCQ,2020-08-08T02:24:04Z,93293.0,1934.0,38.0,184.0,HkbwCWIwlCQ,0 days 00:46:21,2781.0
87,Achieving The Best Mental & Physical Shape Of Your Life | Boho Frequency: Juliana & Mark Spicoluk,DQy3lU0fy4I,2020-08-08T02:32:09Z,148021.0,2761.0,44.0,234.0,DQy3lU0fy4I,0 days 01:34:54,5694.0
88,We Stand With You | The Boho Frequency ☮ Juliana & Mark Spicoluk: Ep 3,RouppDMQQjk,2020-08-14T01:17:03Z,36993.0,1191.0,76.0,141.0,RouppDMQQjk,0 days 00:48:43,2923.0
89,Mindfulness In A Mad World | The Boho Frequency ☮ Juliana & Mark Spicoluk: Ep.2,_Adxw43egfM,2020-06-01T18:15:18Z,47766.0,1456.0,31.0,119.0,_Adxw43egfM,0 days 01:12:36,4356.0
90,All Things YOGA | The Boho Frequency ☮ EPISODE 1! w/Juliana & Mark Spicoluk,BBn7qBxAero,2020-06-01T18:14:46Z,97914.0,2457.0,30.0,207.0,BBn7qBxAero,0 days 01:20:17,4817.0
91,New LIVE Stream Classes! +NEW BOHO APP and Q&A Session  ☮,uTtF3s9wDc0,2020-06-01T18:15:32Z,208813.0,3105.0,75.0,321.0,uTtF3s9wDc0,0 days 00:55:46,3346.0
